type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.693012,0.140480,-0.693012,0.140480,,,,,,0,,
link,l2,,,0.296682,0.125435,0.582421,0.888628,0.083793,-0.413364,0.180134,,,,,,0,,
link,l3,,,0.414025,0.175047,1.425373,0.541517,0.165589,-0.816878,0.109771,,,,,,0,,
link,l4,,,0.169870,0.056438,1.948898,0.268189,0.322487,-0.872323,0.251256,,,,,,0,,
link,_s_link1_3,,,0.234686,0.099224,1.885903,0.510692,0.244653,-0.791301,0.230611,,,,,,1,,
link,_s_link2_3,,,0.234686,0.099224,1.885903,0.299044,0.294102,-0.893049,0.162914,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,0.400000,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,0.389418,-0.921061,0.000000,-0.700000,1,,0,-1
joint,,l2,l3,0.593364,0.250870,0.964842,,,,,0.389418,-0.921061,0.000000,1.100000,1,,0,-1
joint,,l3,_s_link1_3,0.234686,0.099224,1.885903,,,,,-0.358678,-0.151647,0.921061,0.300000,1,,1,0
joint,,_s_link1_3,_s_link2_3,0.234686,0.099224,1.885903,,,,,-0.622731,0.773927,-0.115081,-0.500000,1,,1,1
joint,,_s_link2_3,l4,0.234686,0.099224,1.885903,,,,,-0.648153,-0.427857,0.629949,0.200000,1,,1,2
frame,gripper,l4,,0.105055,0.013652,2.011893,0.268189,0.322487,-0.872323,0.251256,,,,,,,,
