type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l2,,,0.000000,0.000000,0.700000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l3,,,0.000000,0.000000,1.700000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l4,,,0.000000,0.000000,2.300000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,_s_link1_3,,,0.000000,0.000000,2.200000,0.707107,0.000000,-0.707107,0.000000,,,,,,1,,
link,_s_link2_3,,,0.000000,0.000000,2.200000,0.707107,0.000000,-0.707107,0.000000,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,0.000000,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,0.000000,-1.000000,0.000000,0.000000,1,,0,-1
joint,,l2,l3,0.000000,0.000000,1.200000,,,,,0.000000,-1.000000,0.000000,0.000000,1,,0,-1
joint,,l3,_s_link1_3,0.000000,0.000000,2.200000,,,,,0.000000,0.000000,1.000000,0.000000,1,,1,0
joint,,_s_link1_3,_s_link2_3,0.000000,0.000000,2.200000,,,,,0.000000,1.000000,0.000000,0.000000,1,,1,1
joint,,_s_link2_3,l4,0.000000,0.000000,2.200000,,,,,0.000000,0.000000,1.000000,0.000000,1,,1,2
frame,gripper,l4,,0.000000,0.000000,2.400000,0.707107,0.000000,-0.707107,0.000000,,,,,,,,
