type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.653289,-0.270581,-0.653289,-0.270581,,,,,,0,,
link,l2,,,-0.353571,0.353533,0.201496,0.001382,-0.382658,-0.923889,-0.000573,,,,,,0,,
link,l3,,,-0.453601,0.453553,0.551487,0.856053,-0.143922,-0.347485,-0.354562,,,,,,0,,
link,l4,,,-0.100061,0.200006,0.899982,0.923853,0.382748,-0.000063,-0.000158,,,,,,0,,
link,_s_link1_3,,,-0.200061,0.200040,0.899982,0.825544,0.268360,-0.472079,-0.153627,,,,,,1,,
link,_s_link2_3,,,-0.200061,0.200040,0.899982,0.950990,0.309222,-0.000051,-0.000162,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,-0.785345,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,-0.707069,-0.707144,0.000000,1.567804,1,,0,-1
joint,,l2,l3,-0.707141,0.707066,0.202993,,,,,-0.707069,-0.707144,0.000000,-2.367409,1,,0,-1
joint,,l3,_s_link1_3,-0.200061,0.200040,0.899982,,,,,0.507080,-0.507026,0.696989,0.961722,1,,1,0
joint,,_s_link1_3,_s_link2_3,-0.200061,0.200040,0.899982,,,,,0.000277,0.808763,0.588135,1.038806,1,,1,1
joint,,_s_link2_3,l4,-0.200061,0.200040,0.899982,,,,,1.000000,-0.000340,-0.000004,0.156787,1,,1,2
frame,gripper,l4,,-0.000061,0.199972,0.899981,0.923853,0.382748,-0.000063,-0.000158,,,,,,,,
