type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l2,,,-0.463001,0.000000,0.388759,0.192350,0.000000,-0.981326,0.000000,,,,,,0,,
link,l3,,,-0.499645,0.000000,0.838704,0.962475,0.000000,-0.271370,0.000000,,,,,,0,,
link,l4,,,0.013337,0.000000,1.049928,0.965980,0.000000,0.258618,0.000000,,,,,,0,,
link,_s_link1_3,,,-0.073286,0.000000,1.099892,0.962475,0.000000,-0.271370,0.000000,,,,,,1,,
link,_s_link2_3,,,-0.073286,0.000000,1.099892,0.965980,0.000000,0.258618,0.000000,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,0.000000,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,0.000000,-1.000000,0.000000,1.183683,1,,0,-1
joint,,l2,l3,-0.926003,0.000000,0.577517,,,,,0.000000,-1.000000,0.000000,-2.204846,1,,0,-1
joint,,l3,_s_link1_3,-0.073286,0.000000,1.099892,,,,,0.852716,0.000000,0.522374,0.000000,1,,1,0
joint,,_s_link1_3,_s_link2_3,-0.073286,0.000000,1.099892,,,,,0.000000,1.000000,0.000000,1.072815,1,,1,1
joint,,_s_link2_3,l4,-0.073286,0.000000,1.099892,,,,,0.866234,0.000000,-0.499639,0.000000,1,,1,2
frame,gripper,l4,,0.099960,0.000000,0.999964,0.965980,0.000000,0.258618,0.000000,,,,,,,,
