type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.200481,-0.678091,-0.200481,-0.678091,,,,,,0,,
link,l2,,,-0.351063,-0.227472,0.473882,0.271697,-0.274075,-0.081032,-0.918965,,,,,,0,,
link,l3,,,-0.283453,-0.183663,0.781224,0.009492,-0.958428,-0.283365,-0.032106,,,,,,0,,
link,l4,,,0.217613,0.143809,0.807340,0.068730,-0.952489,-0.290682,0.059531,,,,,,0,,
link,_s_link1_3,,,0.135221,0.087616,0.814685,0.089243,-0.954311,-0.285054,-0.008406,,,,,,1,,
link,_s_link2_3,,,0.135221,0.087616,0.814685,0.068730,-0.952489,-0.290682,0.059531,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,-2.566660,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,-0.543779,0.839229,0.000000,-0.991107,1,,0,-1
joint,,l2,l3,-0.702127,-0.454943,0.747764,,,,,-0.543779,0.839229,-0.000000,2.494932,1,,0,-1
joint,,l3,_s_link1_3,0.135221,0.087616,0.814685,,,,,0.837347,0.542560,0.066922,0.166681,1,,1,0
joint,,_s_link1_3,_s_link2_3,0.135221,0.087616,0.814685,,,,,0.545560,-0.821560,-0.165538,-0.142456,1,,1,1
joint,,_s_link2_3,l4,0.135221,0.087616,0.814685,,,,,0.823920,0.561927,-0.073449,0.000000,1,,1,2
frame,gripper,l4,,0.300005,0.200002,0.799995,0.068730,-0.952489,-0.290682,0.059531,,,,,,,,
