type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l2,,,0.435793,0.000000,0.445122,0.967364,0.000000,-0.253391,0.000000,,,,,,0,,
link,l3,,,0.525708,0.000000,1.051309,0.392584,0.000000,-0.919716,0.000000,,,,,,0,,
link,l4,,,0.089931,0.000000,1.456172,0.224736,0.000000,-0.974420,0.000000,,,,,,0,,
link,_s_link1_3,,,0.179830,0.000000,1.412375,0.392584,0.000000,-0.919716,0.000000,,,,,,1,,
link,_s_link2_3,,,0.179830,0.000000,1.412375,0.224736,0.000000,-0.974420,0.000000,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,0.000000,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,0.000000,-1.000000,0.000000,-1.058428,1,,0,-1
joint,,l2,l3,0.871586,0.000000,0.690243,,,,,0.000000,-1.000000,0.000000,1.822345,1,,0,-1
joint,,l3,_s_link1_3,0.179830,0.000000,1.412375,,,,,-0.691756,0.000000,0.722132,0.000000,1,,1,0
joint,,_s_link1_3,_s_link2_3,0.179830,0.000000,1.412375,,,,,0.000000,1.000000,0.000000,-0.353536,1,,1,1
joint,,_s_link2_3,l4,0.179830,0.000000,1.412375,,,,,-0.898988,0.000000,0.437974,0.000000,1,,1,2
frame,gripper,l4,,0.000033,0.000000,1.499970,0.224736,0.000000,-0.974420,0.000000,,,,,,,,
