type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l2,,,0.476301,0.000000,0.352110,0.988079,0.000000,-0.153945,0.000000,,,,,,0,,
link,l3,,,0.602532,0.000000,0.861224,0.387209,0.000000,-0.921992,0.000000,,,,,,0,,
link,l4,,,0.159610,0.000000,1.255352,0.189036,0.000000,-0.981970,0.000000,,,,,,0,,
link,_s_link1_3,,,0.252463,0.000000,1.218227,0.387209,0.000000,-0.921992,0.000000,,,,,,1,,
link,_s_link2_3,,,0.252463,0.000000,1.218227,0.189036,0.000000,-0.981970,0.000000,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,0.000000,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,0.000000,-1.000000,0.000000,-1.261676,1,,0,-1
joint,,l2,l3,0.952602,0.000000,0.504220,,,,,0.000000,-1.000000,0.000000,2.037269,1,,0,-1
joint,,l3,_s_link1_3,0.252463,0.000000,1.218227,,,,,-0.700139,0.000000,0.714007,0.000000,1,,1,0
joint,,_s_link1_3,_s_link2_3,0.252463,0.000000,1.218227,,,,,0.000000,1.000000,0.000000,-0.414844,1,,1,1
joint,,_s_link2_3,l4,0.252463,0.000000,1.218227,,,,,-0.928531,0.000000,0.371255,0.000000,1,,1,2
frame,gripper,l4,,0.066757,0.000000,1.292478,0.189036,0.000000,-0.981970,0.000000,,,,,,,,
