type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l2,,,0.484096,0.000000,0.325103,0.992016,0.000000,-0.126109,0.000000,,,,,,0,,
link,l3,,,0.604144,0.000000,0.792942,0.368716,0.000000,-0.929542,0.000000,,,,,,0,,
link,l4,,,0.145281,0.000000,1.167462,0.161019,0.000000,-0.986951,0.000000,,,,,,0,,
link,_s_link1_3,,,0.240095,0.000000,1.135679,0.368716,0.000000,-0.929542,0.000000,,,,,,1,,
link,_s_link2_3,,,0.240095,0.000000,1.135679,0.161019,0.000000,-0.986951,0.000000,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,0.000000,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,0.000000,-1.000000,0.000000,-1.317904,1,,0,-1
joint,,l2,l3,0.968193,0.000000,0.450205,,,,,0.000000,-1.000000,0.000000,2.133447,1,,0,-1
joint,,l3,_s_link1_3,0.240095,0.000000,1.135679,,,,,-0.728097,0.000000,0.685474,0.000000,1,,1,0
joint,,_s_link1_3,_s_link2_3,0.240095,0.000000,1.135679,,,,,0.000000,1.000000,0.000000,-0.431808,1,,1,1
joint,,_s_link2_3,l4,0.240095,0.000000,1.135679,,,,,-0.948146,0.000000,0.317836,0.000000,1,,1,2
frame,gripper,l4,,0.050466,0.000000,1.199246,0.161019,0.000000,-0.986951,0.000000,,,,,,,,
